handsome boy,hezký kluk
good tree,dobrý strom
little boy,malý kluk
good person,dobrý člověk
big boy,velký kluk
small tree,malý strom
"pretty, small tree",hezký malý strom
big person,velký člověk
large tree,velký strom
handsome person,hezký člověk
handsome man,hezký muž
different person,jiný člověk
young man,mladý muž
old person,starý člověk
different machine,jiný stroj
old tree,starý strom
young person,mladý člověk
good machine,dobrý stroj
young tree,mladý strom
different man,jiný muž
old machine,starý stroj
large machine,velký stroj
nice house,hezký dům
large castle,velký hrad
that house,ten dům
bad evening,špatný večer
new house,nový dům
that person,ten člověk
that large castle,ten velký hrad
new tree,nový strom
old castle,starý hrad
new machine,nový stroj
bad day,špatný den
pretty castle,hezký hrad
wrong tree,špatný strom
another castle,další hrad
strange man,zvláštní muž
big Matěj,velký Matěj
old František,starý František
last person,poslední člověk
another man,další muž
strange machine,zvláštní stroj
big František,velký František
strange tree,zvláštní strom
last tree,poslední strom
young Matěj,mladý Matěj
last machine,poslední stroj
little Matěj,malý Matěj
another tree,další strom
little František,malý František
old house,starý dům
little house,malý dům
