young woman,mladá žena
good woman,dobrá žena
pretty woman,hezká žena
young girl,mladá holka
pretty young woman,hezká mladá žena
good young woman,dobrá mladá žena
good girl,dobrá holka
pretty girl,hezká holka
old woman,stará žena
different woman,jiná žena
old street,stará ulice
different thing,jiná věc
bad woman,špatná žena
different street,jiná ulice
good thing,dobrá věc
bad night,špatná noc
old thing,stará věc
bad street,špatná ulice
nice thing,hezká věc
another young girl,jiná mladá holka
bad thing,špatná věc
new street,nová ulice
the woman,ta žena
young love,mladá láska
big thing,velká věc
little girl,malá holka
new thing,nová věc
new love,nová láska
that new girl,ta nová holka
old love,stará láska
big love,velká láska
the bad thing,ta špatná věc
big girl,velká holka
pretty little thing,hezká malá věc
little woman,malá žena
another little woman,jiná malá žena
new Kateřina,nová Kateřina
another Kateřina,další Kateřina
pretty Žofie,hezká Žofie
strange thing,zvláštní věc
last street,poslední ulice
another night,další noc
strange love,zvláštní láska
strange woman,zvláštní žena
another woman,další žena
young Kateřina,mladá Kateřina
last thing,poslední věc
young Žofie,mladá Žofie
little Žofie,malá Žofie
final love,poslední láska
that new thing,ta nová věc
little thing,malá věc
good old love,stará dobrá láska
that street,ta ulice
that young woman,ta mladá žena
