good city,dobré město
new car,nové auto
nice car,hezké auto
new morning,nové ráno
new city,nové město
nice new car,hezké nové auto
nice city,hezké město
good wine,dobré víno
old car,staré auto
bad afternoon,špatné odpoledne
bad child,špatné dítě
new wine,nové víno
old city,staré město
old wine,staré víno
bad car,špatné auto
new child,nové dítě
bad wine,špatné víno
pretty child,hezké dítě
new girl,nové děvče
young wine,mladé víno
good animal,dobré zvíře
big car,velké auto
young animal,mladé zvíře
bad animal,špatné zvíře
old animal,staré zvíře
large animal,velké zvíře
new big girl,nové velké děvče
wrong girl,špatné děvče
old sea,staré moře
different car,jiné auto
different square,jiné náměstí
small animal,malé zvíře
big square,velké náměstí
small car,malé auto
new sea,nové moře
large sea,velké moře
new square,nové náměstí
small sea,malé moře
old square,staré náměstí
another girl,jiné děvče
strange animal,zvláštní zvíře
that animal,to zvíře
last car,poslední auto
another animal,další zvíře
strange car,zvláštní auto
that large square,to velké náměstí
that small child,to malé dítě
strange girl,zvláštní děvče
strange city,zvláštní město
another child,další dítě
last city,poslední město
last girl,poslední děvče
another city,další město
