"Tea, please.","Tee, bitte."
"Water and bread, please!","Wasser und Brot, bitte!"
"Tea and wine, please!","Tee und Wein, bitte!"
Thank you!,Danke!
"Water, please! Thank you!","Wasser, bitte! Danke!"
"Bread and coffee, please!","Brot und Kaffee, bitte!"
Thank you.,Danke.
"Bread and water, please!","Brot und Wasser, bitte!"
"Beer, please!","Bier, bitte!"
Yes!,Ja!
No.,Nein.
Bye!,Tschüss!
Tea or coffee?,Tee oder Kaffee?
Hello!,Hallo!
"Milk, please!","Milch, bitte!"
"Hello, Julia.","Hallo, Julia."
"Hello! Coffee, please!","Hallo! Kaffee, bitte!"
"Coffee, please!","Kaffee, bitte!"
"Coffee and milk, please!","Kaffee und Milch, bitte!"
"Milk and coffee, please!","Milch und Kaffee, bitte!"
coffee and milk,Kaffee und Milch
"Hello, Paul!","Hallo, Paul!"
"Water and tea, please!","Wasser und Tee, bitte!"
"Tea and milk, please!","Tee und Milch, bitte!"
"Wine and water, please!","Wein und Wasser, bitte!"
"Wine and coffee, please!","Wein und Kaffee, bitte!"
No!,Nein!
Yes.,Ja.
Hello and bye.,Hallo und tschüss.
"Yes, please!","Ja, bitte!"
Yes or no?,Ja oder nein?
Beer or wine?,Bier oder Wein?
Beer or water?,Bier oder Wasser?
"Thank you, bye!","Danke, tschüss!"
Hello.,Hallo.
"Tea and coffee, please!","Tee und Kaffee, bitte!"
Bye.,Tschüss.
"No, thank you!","Nein, danke!"
Milk or water?,Milch oder Wasser?
Coffee or tea?,Kaffee oder Tee?
"Yes, thank you!","Ja, danke!"
Wine or water?,Wein oder Wasser?
