Rytsas se geros ilas! (t),Hello and goodbye!
"Rytsas, valar morghūlis. (t)","Hello, all men must die."
Kostilus se kirimvose. (t),Please and thank you.
"Geros ilas, valar dohaeris. (t)","Goodbye, all men must serve."
"Yes, please. (t)","Issa, kostilus."
Valar morghūlis. Valar dohaeris. (t),All men must die. All men must serve.
Please. (t),Kostilus.
Valar morghūlis. Geros ilas. (t),All men must die. Farewell.
"Actually, the men and the women are happy. (t)",Drīvose vali ābrī kirini issi.
Drīvose taoba ēdrus. (t),Actually the boy is asleep.
"Goodbye, all men must serve. (t)","Geros ilas, valar dohaeris."
Valar morghūlis. (t),All men must die.
"Daor, kostilus. (t)","No, please."
"Actually, my father is a bird. (t)",Drīvose ñuha kepa hontes issa.
Drīvose valar dohaeris. (t),Actually all men must serve.
Rytsas arlī! (t),Hello again!
Ñuha brōzi Iōnos issa. (t),My name is Jon.
"Issa, Daenerys. (t)","Yes, Daenerys."
Hello again! (t),Rytsas arlī!
"Rytsas, Daenerys! (t)","Hello, Daenerys!"
Truly my name is Daenerys. (t),Drējī ñuha brōzi Daenerys issa.
Drējī azantys iksan. (t),I really am a knight.
"Welcome, Daenerys! My name is Jon. (t)","Jiōrna, Daenerys! Ñuha brōzi Iōnos issa."
Iōnos arlī ēdrus. (t),Jon is sleeping again.
Are you truly happy? (t),Drējī kirine iksā?
Daenerys kirine arlī issa. (t),Daenerys is happy again.
Truly my name is Jon. (t),Drējī ñuha brōzi Iōnos issa.
Kirimvose arlī! (t),Thank you again!
Drējī ñuha brōzi Iōnos issa. (t),Truly my name is Jon.
Write “Daenerys” in High Valyrian (n),Daenerys
Issa se daor. (t),Yes and no.
Yes! Hello! (t),Issa! Rytsas!
Rytsas! Jiōrna! (t),Hello! Welcome!
Yes and no. (t),Issa se daor.
Jiōrna! Daor. (t),Welcome! No.
Thank you and you're welcome. (t),Kirimvose se biarvose.
"Daor, riña issa. (t)","No, she is a girl."
Hello! Welcome! (t),Rytsas! Jiōrna!
"Kirimvose, kirine iksan. (t)","Thank you, I am pleased."
Welcome! No. (t),Jiōrna! Daor.
Thank you and hello! (t),Kirimvose se rytsas!
"Yes, you're welcome. (t)","Issa, biarvose."
And you're welcome! (t),Se biarvose!
"You're welcome, knight. (t)","Biarvose, azantys."
Thank you and welcome! (t),Kirimvose se jiōrna!
All men must die. All men must serve. (t),Valar morghūlis. Valar dohaeris.
Geros ilas! (t),Goodbye!
All men must serve. (t),Valar dohaeris.
Kostilus. (t),Please.
Farewell. All men must die. (t),Geros ilas. Valar morghūlis.
Actually all men must serve. (t),Drīvose valar dohaeris.
Actually the knight is a woman. (t),Drīvose azantys ābra issa.
Geros ilas. Valar morghūlis. (t),Farewell. All men must die.
Actually the boy is asleep. (t),Drīvose taoba ēdrus.
Kirimvose se geros ilas! (t),Thank you and farewell!
Please! My mom is sleeping! (t),Kostilus! Ñuha muña ēdrus!
Valar dohaeris. (t),All men must serve.
Please and thank you. (t),Kostilus se kirimvose.
Not actually. (t),Drīvose daor.
All men must die. Farewell. (t),Valar morghūlis. Geros ilas.
Please do not. (t),Kostilus daor.
Valar dohaeris? (t),All men must serve?
Actually my mother is sleeping. (t),Drīvose ñuha muña ēdrus.
Kirimvose. Valar dohaeris. (t),Thank you. All men must serve.
Kostilus daor. (t),Please do not.
Thank you. All men must serve. (t),Kirimvose. Valar dohaeris.
Thank you and farewell! (t),Kirimvose se geros ilas!
"Valar morghūlis, Iōnos. (t)","All men must die, Jon."
"Rytsas, Daenerys iksan. (t)","Hello, I am Daenerys."
"Yes, truly I am Daenerys. (t)","Issa, drējī Daenerys iksan."
Hello! My name is Jon. (t),Rytsas! Ñuha brōzi Iōnos issa.
"You're welcome, Jon. (t)","Biarvose, Iōnos."
Drējī kirine arlī iksan. (t),I am very happy again.
"Welcome, my name is Jon. (t)","Jiōrna, ñuha brōzi Iōnos issa."
I am very happy again. (t),Drējī kirine arlī iksan.
Daenerys is happy again. (t),Daenerys kirine arlī issa.
Daor. (t),No.
"No, she is a girl. (t)","Daor, riña issa."
"Biarvose, azantys. (t)","You're welcome, knight."
No. (t),Daor.
Rytsas! Azantys iksan. (t),Hello! I am a knight.
Issa! Jiōrna! (t),Yes! Welcome!
Hello! (t),Rytsas!
Rytsas se jiōrna! (t),Greetings and welcome!
Kirimvose se jiōrna! (t),Thank you and welcome!
Welcome! (t),Jiōrna!
"Issa, taobi sȳri issi. (t)","Yes, the boys are good."
"Yes, I am happy. (t)","Issa, kirine iksan."
"Thank you, I am pleased. (t)","Kirimvose, kirine iksan."
Must all men die? (t),Valar morghūlis?
"Issa, kostilus. (t)","Yes, please."
Goodbye! (t),Geros ilas!
Goodbye and thank you! (t),Geros ilas se kirimvose!
Valar morghūlis? (t),Must all men die?
Drīvose ñuha kepa hontes issa. (t),"Actually, my father is a bird."
"No, please. (t)","Daor, kostilus."
Ñuha brōzi Daenerys issa. (t),My name is Daenerys.
"Hello, Daenerys! (t)","Rytsas, Daenerys!"
My name is Daenerys. (t),Ñuha brōzi Daenerys issa.
"Jiōrna, ñuha brōzi Iōnos issa. (t)","Welcome, my name is Jon."
"No, Jon. (t)","Daor, Iōnos."
Jon is sleeping again. (t),Iōnos arlī ēdrus.
Drējī ñuha brōzi Daenerys issa. (t),Truly my name is Daenerys.
Daenerys is very happy. (t),Daenerys drējī kirine issa.
Which one of these is “woman”? (s),ābra
Which one of these is “man”? (s),vala
Which one of these is “girl”? (s),riña
Which one of these is “mother”? (s),muña
Which one of these is “boy”? (s),taoba
"riña, taoba (t)","a girl, a boy"
Which one of these is “father”? (s),kepa
"muña, kepa (t)","a mother, a father"
Which one of these is “happy”? (s),kirine
Ābra kirine issa. (t),The woman is happy.
Ñuha kepa kirine issa. (t),My father is happy.
Vala kirine issa. (t),The man is happy.
Riña kirine issa. (t),The girl is happy.
Which one of these is “bird”? (s),hontes
Hontes issa. (t),It is a bird.
Which one of these is “knight”? (s),azantys
Ābra vāedas. (t),The woman is singing.
Vala ēdrus. (t),The man is sleeping.
Riña līris. (t),The girl is smiling.
Taoba sȳz issa. (t),The boy is good.
Ābra nages. (t),The woman is sweating.
Muña iksan. (t),I am a mother.
Riña iksā. (t),You are a girl.
Ābra ēdrus. (t),The woman is sleeping.
Ābra līris. (t),The woman is smiling.
Riña sȳz issa. (t),The girl is good.
Kirine iksan. (t),I am happy.
Kepa iksā. (t),You are a father.
Which one of these is “men”? (s),vali
Select the missing word (s),Vali
Which one of these is “boys”? (s),taobi
Which one of these is “women”? (s),ābri
Ābri issi. (t),They are women.
Which one of these is “girls”? (s),riñi
Vali kirini issi. (t),The men are happy.
Azantyssy kirini issi. (t),The knights are happy.
