Which one of these is “man”? (s),vala
Which one of these is “woman”? (s),ābra
Which one of these is “girl”? (s),riña
Which one of these is “mother”? (s),muña
Which one of these is “boy”? (s),taoba
Which one of these is “father”? (s),kepa
Which one of these is “happy”? (s),kirine
Write “girl” in High Valyrian (n),riña
Write “man” in High Valyrian (n),vala
Write “boy” in High Valyrian (n),taoba
Write “men” in High Valyrian (n),vali
Azantyssy ___. (f),iksi
___ issi. (f),Vali
Ābri ___. (f),nagesi
Sȳri azantyssy ___. (f),nagesi
___ vāedis. (f),Kepi
Write “mother” in High Valyrian (n),muña
Write “boys” in High Valyrian (n),taobi
Write “girls” in High Valyrian (n),riñi
Kirini ___ iksi. (f),taobi
Taobi ___. (f),nagesi
Ñuhi ___ kirini issi. (f),kepi
Riñi ___ issi. (f),kirini
Vali ___ issi. (f),azantyssy
___ līrisi. (f),Muñi
___ taobi sȳri issi. (f),Ñuhi
___ hontesse vāedis. (f),Sȳri
Azantyssy kirini ___. (f),issi
Which one of these is “Daenerys”? (s),Daenerys
Ābra ___ urnes. (f),vale
Azantys ___ urnes. (f),riñe,kepe
Azantyssy ___ urnesi. (f),ābre
Vali ___ rȳbis. (f),azanti
Taobi kepe ___. (f),jorrāelzi
Taoba muñe ___. (f),jorrāelza
Azantys ābre ___. (f),rȳbas
Vali azanti ___. (f),rijis
Riñi ___ urnesi. (f),taobe
Riñi azanti ___. (f),jorrāelzi
Riña ābre ___. (f),majaqsa
Taobi azantī ___. (f),majaqis
Taoba riñe ___? (f),jorrāelza
Ābre ___. (f),rȳban
Which one of these is “sword”? (s),korze
___ ñuha korze issa? (f),Kesy
___ azantyssy issi. (f),Bisi
Kesi ñuhi ___ issi? (f),korzi
___ ñuha muña issa. (f),Bony
___ korzi issi. (f),Kesi
___ sȳri korzi issi? (f),Koni
___ korze issa. (f),Kony
Write “sword” in High Valyrian (n),korze
Which one of these is “fruit”? (s),gerpi
Which one of these is “wolf”? (s),zokla
Which one of these is “horse”? (s),anne
Which one of these is “cat”? (s),kēli
Which one of these is “grapes”? (s),avera
Which one of these is “cats”? (s),kēla
Write “fruit” in High Valyrian (n),gerpi
Write “horse” in High Valyrian (n),anne
Write “grapes” in High Valyrian (n),avera
Write “cat” in High Valyrian (n),kēli
Which one of these is “bull”? (s),vandis
Voktyssy rōvī vandissa ___. (f),ojehikis
Voktys ñuhī ___ rijas. (f),jaehossa
Which one of these is “dragon”? (s),zaldrīzes
Jaehossa voktī ___. (f),ēzi
Zaldrīzesse ___ issi! (f),dāeri
Vali ābrī ___ issi. (f),gevī
Which one of these is “ocean”? (s),embar
Embar ___ issa. (f),kastor
Which one of these is “boat”? (s),lōgor
___ taobī ossȳngis. (f),Sētera
Koni ___ issi. (f),lōgra
Which one of these is “turtle”? (s),qintir
Bony ___ qintir issa! (f),biarior
Kesy ___ issa. (f),lōgor
Kony ___ lōgor issa. (f),ñuhor
Write “ocean” in High Valyrian (n),embar
Write “boat” in High Valyrian (n),lōgor
Write “turtle” in High Valyrian (n),qintir
Bisy biarior ___ urnes. (f),qintir
Kastor ___ avera ipradas. (f),qintir
Which one of these is “mountain”? (s),blēnon
Vala ___ blēnon majaqsa. (f),kostōbon
Which one of these is “throne”? (s),dēmalion
___ Dēmalion kostōbon issa. (f),Āegenkon
___ kostōba issi? (f),Blēna
Write “throne” in High Valyrian (n),dēmalion
Azantyssy valoti ___ rhaenis. (f),annī
Bisy ___ valo kepa issa. (f),sȳro
___ anno āeksio kirine issa. (f),Sȳro
Dovaogēdy sȳro valo annī ___. (f),rhaenas
___ āeksia ēdrusi. (f),Dovaogēdoti
___ raqirossa ēdrusi? (f),Azanto
___ raqiro anne gevie issa. (f),Ñuho
Daenerys ___ raqiros issa. (f),zaldrīzoti
___ riñe urnen. (f),Embro
Ābra ñurho ___ gevivī rijas. (f),sētero
___ naejon rōvon issa. (f),Blēno
Kesy lōgro ___ issa. (f),naejon
___ āeksio ēdrus. (f),Lōgro
Voktys ___ raqiros issa. (f),jaehoti
Ābra ___ āeksio rhaenas. (f),sēteroti
Which one of these is “house”? (s),lenton
Rōvon ___ eman. (f),lenton
Which one of these is “king”? (s),dārys
___ ñuhon lenton ēza. (f),Dārys
Kesy ñuha ___ issa. (f),gelte
___ azantyssy nagesi. (f),Pōjyz
___ azantyssy iksāt. (f),Īlvyz
Write “king” in High Valyrian (n),dārys
Write “house” in High Valyrian (n),lenton
___ blēnon rōvon issa. (f),Keson
___ azantys sȳz issa. (f),Bonys
Which one of these is “baby”? (s),rūs
Which one of these is “family”? (s),lentor
Ñuhī ___ urnen! (f),trēsī
Taoba ñuho ___ trēsy issa. (f),talo
Kejo ___ azantys sȳz issa. (f),lentro
Jeve ___ urnen! (f),velme
Write “family” in High Valyrian (n),lentor
Write “baby” in High Valyrian (n),rūs
Daenerys ___ hāedar issa. (f),Visero
___ kesi issi? (f),Skorossa
___ vāedis? (f),Sparossa
Which one of these is “lion”? (s),kēlio
Which one of these is “dog”? (s),jaos
Kēlio ___ ipradas? (f),hontī
Which one of these is “whale”? (s),qaedar
Which one of these is “fish”? (s),klios
___ urnen! (f),Vōlī
Write “whale” in High Valyrian (n),qaedar
Write “fish” in High Valyrian (n),klios
Write “lion” in High Valyrian (n),kēlio
Write “wolf” in High Valyrian (n),zokla
Write “dog” in High Valyrian (n),jaos
Zokla atroksie ___. (f),ipradas
Aōhyz azantyssy dāri ___? (f),iotāptesi
Daenerys zaldrīzī ___. (f),neves
Riña taobe ___. (f),vūjis
Īlvyz jentyssy ___. (f),bardusi
Zokla qintir ___! (f),angos
Azantyssy dēmalion ___. (f),idakosi
Riñi ___! (f),ropasi
Zentyssy dāri ___. (f),ȳdrasi
Which one of these is “carrot”? (s),onjapos
Which one of these is “water”? (s),iēdar
Which one of these is “meat”? (s),parklon
Which one of these is “milk”? (s),jūlor
Which one of these is “bread”? (s),havon
Which one of these is “wine”? (s),averilla
Which one of these is “honey”? (s),elilla
Which one of these is “egg”? (s),drōmon
Which one of these is “pear”? (s),melvo
Write “bread” in High Valyrian (n),havon
Write “milk” in High Valyrian (n),jūlor
Write “wine” in High Valyrian (n),averilla
Write “honey” in High Valyrian (n),elilla
Write “carrot” in High Valyrian (n),onjapos
Write “pear” in High Valyrian (n),melvo
